name,cluster,data
NO.10,0,-3.0,-5.0,-6.0,-5.0,-6.0,-5.0,-4.0,-6.0,2.0,1.0,0.0,-2.0,0.0,1.0,2.0,3.0,3.0,5.0,6.0,4.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,0.0,-4.0,-3.0,-3.0,-3.0,-4.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,4.0,4.0,4.0,2.0,-1.0,-3.0,0.0,3.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
NO.11,0,-3.0,-4.0,-5.0,-6.0,-4.0,-3.0,-1.0,-2.0,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,0.0,1.0,4.0,7.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,-5.0,-6.0,-3.0,-1.0,-5.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
NO.12,0,-1.0,-2.0,-2.0,-1.0,-3.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,-1.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.13,0,0.0,3.0,6.0,6.0,-4.0,-4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,6.0,4.0,2.0,0.0,3.0,1.0,0.0,-1.0,4.0,5.0,2.0,0.0,-2.0,-3.0,-1.0,1.0,4.0,5.0,1.0,-1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.14,0,-3.0,-8.0,-8.0,-3.0,-9.0,-4.0,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-4.0,-3.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,10.0,10.0,8.0,3.0,0.0,0.0,0.0,-3.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,-3.0,-3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.15,0,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,-6.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,0.0,-4.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,-1.0,-4.0,-3.0,-2.0,-1.0,0.0,0.0,-1.0,-2.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
NO.16,0,-3.0,-5.0,-6.0,-3.0,-7.0,-5.0,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,1.0,2.0,0.0,-2.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-6.0,-6.0,-6.0,-3.0,-4.0,-3.0,0.0,-1.0,-1.0,0.0,-4.0,-2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
NO.17,0,-1.0,-2.0,-3.0,-2.0,-3.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.0,0.0,0.0,-1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,-1.0,-2.0,-3.0,-4.0,-3.0,-2.0,-3.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.18,0,-2.0,-3.0,-3.0,-1.0,-4.0,-3.0,-3.0,-5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,4.0,1.0,-1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.19,0,-1.0,-3.0,-5.0,-3.0,-4.0,-3.0,-3.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,-4.0,-5.0,-3.0,-3.0,-5.0,-2.0,-3.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,-2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
NO.20,0,-1.0,-3.0,-5.0,-3.0,-3.0,-1.0,-2.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.0,-3.0,-2.0,-4.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-2.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0
NO.21,0,0.0,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-3.0,-3.0,-1.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
NO.22,0,-2.0,-3.0,-6.0,-8.0,-4.0,-2.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-7.0,-7.0,-3.0,0.0,-6.0,-2.0,0.0,0.0,-2.0,-3.0,-1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,-1.0,1.0,1.0,3.0,2.0,-1.0,0.0,1.0,3.0,-1.0,-1.0,0.0,1.0
NO.23,0,-1.0,-2.0,-2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-1.0,-2.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,-2.0,-4.0,-1.0,-1.0,-3.0,-2.0,-2.0,-3.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0
NO.24,0,0.0,0.0,-2.0,-4.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.0,6.0,4.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NO.25,0,-1.0,-3.0,-6.0,-11.0,-5.0,-2.0,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,-2.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-10.0,-2.0,2.0,-7.0,-3.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,3.0,2.0,1.0,9.0,6.0,1.0,0.0,2.0,1.0,3.0,2.0,-2.0,-1.0,0.0,2.0,-1.0,-1.0,0.0,0.0
NO.26,0,0.0,0.0,-4.0,-9.0,-2.0,-1.0,1.0,-2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-5.0,-2.0,-5.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,-1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.0
NO.27,0,-1.0,-2.0,-4.0,-8.0,-4.0,-3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,12.0,8.0,3.0,0.0,0.0,2.0,3.0,4.0,-2.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,-6.0,-6.0,-4.0,-2.0,-5.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
NO.28,0,0.0,-1.0,-4.0,-7.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,6.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,0.0,-5.0,-5.0,-3.0,-2.0,-4.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
NO.29,0,0.0,0.0,-2.0,-5.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,3.0,-1.0,0.0,1.0,0.0,6.0,3.0,0.0,-1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-4.0,-5.0,-5.0,-2.0,-6.0,-5.0,-2.0,0.0,-2.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
NO.30,0,0.0,0.0,-2.0,-5.0,-1.0,0.0,1.0,0.0,-2.0,-1.0,1.0,3.0,0.0,1.0,2.0,2.0,10.0,5.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-3.0,-4.0,-4.0,-3.0,-3.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,-2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0
NO.31,0,-1.0,-3.0,-5.0,-7.0,-3.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-6.0,-3.0,0.0,-5.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,-1.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0
NO.32,0,-1.0,-2.0,-4.0,-5.0,-1.0,0.0,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,-2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-8.0,-3.0,0.0,-5.0,-2.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0
NO.33,0,-2.0,-2.0,-4.0,-6.0,-4.0,-3.0,-1.0,-2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-4.0,-2.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,-1.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0
NO.34,0,-2.0,-2.0,-2.0,-3.0,-2.0,0.0,2.0,0.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,2.0,10.0,7.0,2.0,-1.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,-1.0,-1.0,0.0,-2.0,-3.0,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NO.35,0,-1.0,-2.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,-2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-3.0,-6.0,0.0,-2.0,-5.0,-3.0,-5.0,-6.0,-2.0,0.0,-1.0,1.0,3.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NO.36,0,-3.0,-3.0,-1.0,0.0,-3.0,-1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0,-1.0,0.0,2.0,4.0,-1.0,-1.0,0.0,2.0
NO.37,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,18.0,12.0,3.0,0.0,0.0,1.0,2.0,3.0,-2.0,-2.0,-1.0,0.0,-4.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
NO.38,0,-3.0,-4.0,-5.0,-6.0,-6.0,-4.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,9.0,7.0,2.0,-1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-5.0,-5.0,-1.0,2.0,-3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,4.0,3.0,1.0,-1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0
NO.39,0,-2.0,-2.0,-6.0,-14.0,-4.0,-2.0,2.0,-2.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,4.0,5.0,2.0,-1.0,0.0,1.0,1.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,-1.0,4.0,-7.0,-2.0,2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7.0,5.0,1.0,-1.0,1.0,1.0,2.0,1.0,-4.0,-2.0,1.0,2.0,-2.0,-3.0,-1.0,1.0
NO.40,0,0.0,-1.0,-5.0,-9.0,-2.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,6.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,-8.0,-8.0,-2.0,2.0,-6.0,-2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,7.0,6.0,2.0,1.0,1.0,2.0,4.0,2.0,-6.0,-3.0,2.0,4.0,-3.0,-5.0,-2.0,2.0
NO.41,0,0.0,0.0,-2.0,-5.0,0.0,2.0,2.0,-1.0,-2.0,-1.0,1.0,1.0,-1.0,0.0,3.0,5.0,16.0,9.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,-5.0,-6.0,-3.0,0.0,-5.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.0
NO.42,0,-3.0,-4.0,-4.0,-5.0,-5.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,10.0,5.0,2.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,0.0,-2.0,-3.0,-2.0,0.0,-4.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NO.43,0,-1.0,-3.0,-4.0,-4.0,-5.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,-3.0,-4.0,-2.0,-1.0,-3.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.44,0,-1.0,-3.0,-4.0,-3.0,-5.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,-3.0,-3.0,-3.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.45,0,-3.0,-4.0,-4.0,-5.0,-4.0,-3.0,-2.0,-4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-4.0,-4.0,-2.0,-1.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
NO.46,0,-4.0,-5.0,-5.0,-7.0,-5.0,-3.0,-1.0,-2.0,2.0,1.0,0.0,-1.0,0.0,0.0,1.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-6.0,-4.0,-3.0,-4.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
NO.47,0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,3.0,6.0,4.0,1.0,0.0,8.0,5.0,1.0,0.0,-3.0,-3.0,-2.0,-3.0,-2.0,-2.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,0.0,1.0,1.0,-1.0,-1.0,0.0,3.0,2.0,-1.0,-1.0,1.0,3.0,2.0,-1.0
NO.48,0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
