time,cluster,data
NO.353,3,-4.0,-8.0,0.0,11.0,2.0,-18.0,4.0,-13.0,0.0,0.0,2.0,-9.0,0.0,0.0,-2.0,9.0
NO.354,3,-9.0,13.0,3.0,6.0,5.0,-13.0,9.0,8.0,-3.0,3.0,1.0,-6.0,3.0,-3.0,-1.0,6.0
NO.355,0,1.0,-9.0,14.0,49.0,-27.0,5.0,-54.0,45.0,7.0,-9.0,-18.0,17.0,-7.0,9.0,18.0,-17.0
NO.356,3,-12.0,21.0,4.0,-3.0,14.0,11.0,14.0,5.0,-4.0,5.0,6.0,-9.0,4.0,-5.0,-6.0,9.0
NO.357,3,-13.0,4.0,1.0,4.0,15.0,-10.0,9.0,10.0,-1.0,2.0,3.0,-8.0,1.0,-2.0,-3.0,8.0
NO.358,0,1.0,6.0,7.0,32.0,-17.0,8.0,-31.0,32.0,1.0,-2.0,-9.0,8.0,-1.0,2.0,9.0,-8.0
NO.359,3,19.0,23.0,9.0,46.0,-25.0,23.0,27.0,18.0,-3.0,5.0,-3.0,2.0,3.0,-5.0,3.0,-2.0
NO.360,3,5.0,15.0,10.0,30.0,1.0,25.0,24.0,44.0,-3.0,3.0,-2.0,2.0,3.0,-3.0,2.0,-2.0
NO.361,3,-7.0,5.0,25.0,35.0,3.0,-1.0,33.0,-29.0,1.0,1.0,-5.0,3.0,-1.0,-1.0,5.0,-3.0
NO.362,3,8.0,14.0,20.0,27.0,-4.0,-10.0,54.0,-53.0,-4.0,4.0,2.0,-1.0,4.0,-4.0,-2.0,1.0
NO.363,3,-7.0,12.0,-3.0,21.0,5.0,-12.0,59.0,29.0,-1.0,2.0,-5.0,3.0,1.0,-2.0,5.0,-3.0
NO.364,3,-25.0,-22.0,41.0,48.0,21.0,24.0,19.0,22.0,7.0,-6.0,-7.0,10.0,-7.0,6.0,7.0,-10.0
NO.365,3,-2.0,15.0,4.0,16.0,0.0,-11.0,40.0,-4.0,-2.0,5.0,-4.0,0.0,2.0,-5.0,4.0,0.0
NO.366,3,-12.0,8.0,23.0,14.0,4.0,-12.0,13.0,12.0,0.0,2.0,-1.0,2.0,0.0,-2.0,1.0,-2.0
NO.367,0,-13.0,-28.0,37.0,58.0,9.0,30.0,-15.0,102.0,9.0,-8.0,-13.0,18.0,-9.0,8.0,13.0,-18.0
NO.368,3,-25.0,-3.0,13.0,24.0,41.0,-3.0,81.0,-48.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0
NO.369,3,-15.0,14.0,38.0,41.0,1.0,20.0,60.0,-3.0,3.0,2.0,-6.0,5.0,-3.0,-2.0,6.0,-5.0
NO.370,3,-65.0,-7.0,-46.0,32.0,59.0,59.0,126.0,-24.0,-9.0,1.0,-6.0,-2.0,9.0,-1.0,6.0,2.0
NO.371,3,24.0,45.0,20.0,56.0,-2.0,-9.0,58.0,-40.0,-10.0,11.0,0.0,-6.0,10.0,-11.0,0.0,6.0
NO.372,3,-6.0,12.0,19.0,18.0,-8.0,-12.0,23.0,0.0,0.0,2.0,-5.0,4.0,0.0,-2.0,5.0,-4.0
NO.373,0,12.0,15.0,41.0,41.0,-46.0,-3.0,-35.0,15.0,0.0,3.0,-3.0,3.0,0.0,-3.0,3.0,-3.0
NO.374,0,-7.0,-17.0,43.0,98.0,-23.0,19.0,-121.0,58.0,13.0,-19.0,-43.0,52.0,-13.0,19.0,43.0,-52.0
NO.375,3,4.0,12.0,4.0,49.0,-6.0,2.0,88.0,-41.0,-2.0,4.0,-6.0,1.0,2.0,-4.0,6.0,-1.0
NO.376,3,2.0,22.0,13.0,29.0,-2.0,-8.0,19.0,9.0,-2.0,4.0,-5.0,5.0,2.0,-4.0,5.0,-5.0
NO.377,3,1.0,27.0,9.0,19.0,-9.0,-9.0,47.0,-11.0,-3.0,5.0,-5.0,1.0,3.0,-5.0,5.0,-1.0
NO.378,0,-7.0,-14.0,28.0,70.0,-1.0,-10.0,-18.0,-8.0,3.0,-6.0,-16.0,22.0,-3.0,6.0,16.0,-22.0
NO.379,3,13.0,23.0,-5.0,27.0,-21.0,-7.0,31.0,5.0,-3.0,5.0,-5.0,1.0,3.0,-5.0,5.0,-1.0
NO.380,3,2.0,15.0,14.0,21.0,-10.0,-13.0,18.0,-9.0,-2.0,3.0,-4.0,3.0,2.0,-3.0,4.0,-3.0
NO.381,0,0.0,11.0,40.0,77.0,-20.0,41.0,-110.0,79.0,4.0,-9.0,-26.0,37.0,-4.0,9.0,26.0,-37.0
NO.382,3,4.0,-3.0,16.0,33.0,-12.0,-1.0,20.0,-15.0,2.0,1.0,-4.0,1.0,-2.0,-1.0,4.0,-1.0
NO.383,3,-6.0,-3.0,-13.0,31.0,-8.0,9.0,45.0,7.0,0.0,-3.0,-9.0,3.0,0.0,3.0,9.0,-3.0
NO.384,3,-11.0,3.0,17.0,72.0,9.0,21.0,51.0,46.0,3.0,-1.0,-13.0,10.0,-3.0,1.0,13.0,-10.0
NO.385,3,14.0,26.0,12.0,34.0,-14.0,2.0,32.0,-24.0,-4.0,6.0,-2.0,-2.0,4.0,-6.0,2.0,2.0
NO.386,3,-33.0,-19.0,29.0,15.0,75.0,-3.0,39.0,-59.0,-5.0,-1.0,5.0,1.0,5.0,1.0,-5.0,-1.0
NO.387,3,1.0,16.0,20.0,27.0,-3.0,-10.0,28.0,-13.0,-3.0,4.0,0.0,-1.0,3.0,-4.0,0.0,1.0
NO.388,3,9.0,18.0,19.0,36.0,-7.0,-6.0,39.0,-12.0,-3.0,4.0,-1.0,2.0,3.0,-4.0,1.0,-2.0
NO.389,3,6.0,34.0,-5.0,20.0,-4.0,6.0,53.0,20.0,-4.0,6.0,-5.0,2.0,4.0,-6.0,5.0,-2.0
NO.390,3,11.0,35.0,44.0,45.0,7.0,19.0,20.0,3.0,-7.0,7.0,2.0,-1.0,7.0,-7.0,-2.0,1.0
NO.391,0,15.0,10.0,32.0,75.0,-19.0,2.0,-68.0,23.0,3.0,-4.0,-26.0,31.0,-3.0,4.0,26.0,-31.0
NO.392,3,25.0,20.0,15.0,25.0,-29.0,-18.0,-17.0,-25.0,-1.0,4.0,-7.0,1.0,1.0,-4.0,7.0,-1.0
NO.393,0,11.0,-61.0,11.0,77.0,-63.0,1.0,-165.0,127.0,11.0,-23.0,-35.0,49.0,-11.0,23.0,35.0,-49.0
NO.394,3,23.0,41.0,29.0,44.0,1.0,-27.0,41.0,-68.0,-11.0,11.0,5.0,-2.0,11.0,-11.0,-5.0,2.0
NO.395,0,-17.0,0.0,2.0,81.0,-47.0,8.0,-64.0,87.0,-1.0,-6.0,-24.0,27.0,1.0,6.0,24.0,-27.0
NO.396,3,-11.0,-12.0,17.0,48.0,-19.0,16.0,65.0,-16.0,1.0,-2.0,-5.0,2.0,-1.0,2.0,5.0,-2.0
NO.397,0,-1.0,-4.0,-6.0,31.0,-27.0,-10.0,-38.0,15.0,3.0,-4.0,-20.0,19.0,-3.0,4.0,20.0,-19.0
NO.398,3,3.0,8.0,9.0,32.0,-15.0,-14.0,31.0,-4.0,-3.0,4.0,-3.0,2.0,3.0,-4.0,3.0,-2.0
NO.399,0,-10.0,-16.0,23.0,76.0,-44.0,2.0,-111.0,56.0,8.0,-12.0,-35.0,42.0,-8.0,12.0,35.0,-42.0
NO.400,3,3.0,4.0,-9.0,31.0,-19.0,4.0,35.0,-3.0,-3.0,2.0,-3.0,1.0,3.0,-2.0,3.0,-1.0
NO.401,3,0.0,4.0,-4.0,22.0,-16.0,0.0,20.0,6.0,-2.0,2.0,-2.0,-2.0,2.0,-2.0,2.0,2.0
NO.402,3,-15.0,-11.0,23.0,14.0,-15.0,7.0,21.0,-98.0,1.0,-1.0,1.0,-4.0,-1.0,1.0,-1.0,4.0
NO.403,2,3.0,5.0,-5.0,13.0,-13.0,7.0,-15.0,35.0,1.0,-1.0,-5.0,5.0,-1.0,1.0,5.0,-5.0
NO.404,3,-10.0,21.0,21.0,10.0,22.0,-7.0,5.0,24.0,-14.0,5.0,9.0,0.0,14.0,-5.0,-9.0,0.0
NO.405,0,38.0,25.0,16.0,41.0,-28.0,9.0,-40.0,-11.0,-2.0,3.0,-8.0,7.0,2.0,-3.0,8.0,-7.0
NO.406,3,5.0,-1.0,23.0,24.0,5.0,1.0,-5.0,16.0,-1.0,-1.0,-1.0,8.0,1.0,1.0,1.0,-8.0
NO.407,0,-12.0,-14.0,23.0,39.0,-16.0,18.0,-65.0,65.0,2.0,-8.0,-13.0,19.0,-2.0,8.0,13.0,-19.0
NO.408,0,15.0,6.0,21.0,45.0,-25.0,-4.0,-75.0,61.0,3.0,-4.0,-15.0,23.0,-3.0,4.0,15.0,-23.0
NO.409,2,-17.0,-5.0,-18.0,23.0,-5.0,-7.0,-6.0,75.0,-5.0,1.0,-2.0,3.0,5.0,-1.0,2.0,-3.0
NO.410,0,-40.0,-23.0,47.0,28.0,26.0,47.0,11.0,108.0,-4.0,-1.0,7.0,2.0,4.0,1.0,-7.0,-2.0
NO.411,3,8.0,11.0,32.0,24.0,16.0,7.0,28.0,46.0,-4.0,3.0,8.0,0.0,4.0,-3.0,-8.0,0.0
NO.412,3,-3.0,0.0,-18.0,5.0,-11.0,-8.0,40.0,-5.0,-3.0,2.0,0.0,-3.0,3.0,-2.0,0.0,3.0
NO.413,3,3.0,17.0,-20.0,18.0,-5.0,-1.0,38.0,8.0,-5.0,5.0,0.0,0.0,5.0,-5.0,0.0,0.0
NO.414,0,-4.0,-11.0,22.0,30.0,-18.0,3.0,-72.0,38.0,6.0,-7.0,-18.0,24.0,-6.0,7.0,18.0,-24.0
NO.415,3,30.0,34.0,-38.0,-13.0,0.0,14.0,40.0,-27.0,-4.0,8.0,2.0,-7.0,4.0,-8.0,-2.0,7.0
NO.416,3,14.0,9.0,-17.0,12.0,-18.0,7.0,23.0,8.0,0.0,3.0,-1.0,0.0,0.0,-3.0,1.0,0.0
NO.417,3,3.0,18.0,-2.0,11.0,-21.0,18.0,46.0,-25.0,-3.0,4.0,0.0,-3.0,3.0,-4.0,0.0,3.0
NO.418,3,9.0,4.0,-7.0,7.0,-15.0,-2.0,31.0,3.0,-1.0,2.0,1.0,-3.0,1.0,-2.0,-1.0,3.0
NO.419,3,7.0,14.0,-12.0,5.0,-11.0,-8.0,16.0,13.0,-3.0,4.0,0.0,-1.0,3.0,-4.0,0.0,1.0
NO.420,3,7.0,16.0,-18.0,13.0,-23.0,2.0,32.0,-5.0,-5.0,4.0,-2.0,-1.0,5.0,-4.0,2.0,1.0
NO.421,3,-2.0,-10.0,-4.0,15.0,-10.0,-4.0,30.0,-5.0,2.0,0.0,-2.0,1.0,-2.0,0.0,2.0,-1.0
NO.422,3,7.0,8.0,-14.0,9.0,-9.0,-6.0,56.0,-21.0,-5.0,6.0,4.0,-9.0,5.0,-6.0,-4.0,9.0
NO.423,3,1.0,3.0,-25.0,10.0,-19.0,-3.0,55.0,-14.0,-5.0,3.0,3.0,-8.0,5.0,-3.0,-3.0,8.0
NO.424,2,-2.0,8.0,-15.0,-6.0,-10.0,-6.0,19.0,24.0,-4.0,4.0,1.0,-4.0,4.0,-4.0,-1.0,4.0
NO.425,3,30.0,33.0,14.0,27.0,-46.0,13.0,2.0,27.0,-12.0,9.0,8.0,-3.0,12.0,-9.0,-8.0,3.0
NO.426,3,6.0,5.0,-6.0,3.0,0.0,-3.0,6.0,5.0,-6.0,5.0,2.0,-3.0,6.0,-5.0,-2.0,3.0
NO.427,3,-13.0,5.0,15.0,32.0,21.0,7.0,39.0,14.0,-11.0,3.0,5.0,-2.0,11.0,-3.0,-5.0,2.0
NO.428,3,13.0,10.0,12.0,30.0,-17.0,24.0,32.0,-28.0,-5.0,4.0,2.0,-4.0,5.0,-4.0,-2.0,4.0
NO.429,3,0.0,-2.0,-8.0,16.0,2.0,-8.0,12.0,0.0,-2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,2.0
NO.430,3,-7.0,-13.0,27.0,27.0,11.0,15.0,31.0,51.0,-1.0,-1.0,5.0,1.0,1.0,1.0,-5.0,-1.0
NO.431,3,2.0,-23.0,8.0,9.0,-10.0,-7.0,10.0,-5.0,2.0,-1.0,6.0,-3.0,-2.0,1.0,-6.0,3.0
NO.432,2,-4.0,-1.0,-5.0,6.0,0.0,-9.0,15.0,60.0,-2.0,3.0,5.0,-6.0,2.0,-3.0,-5.0,6.0
NO.433,2,1.0,-5.0,-8.0,7.0,-1.0,11.0,30.0,47.0,-3.0,1.0,6.0,-5.0,3.0,-1.0,-6.0,5.0
NO.434,2,1.0,-7.0,-14.0,-2.0,-7.0,13.0,-22.0,40.0,-1.0,-1.0,8.0,-4.0,1.0,1.0,-8.0,4.0
NO.435,2,-6.0,-7.0,-22.0,-13.0,-8.0,3.0,24.0,7.0,-2.0,1.0,6.0,-11.0,2.0,-1.0,-6.0,11.0
NO.436,3,11.0,-9.0,-12.0,15.0,3.0,-7.0,10.0,-11.0,1.0,1.0,4.0,-7.0,-1.0,-1.0,-4.0,7.0
NO.437,3,-17.0,-8.0,-4.0,-14.0,19.0,0.0,38.0,12.0,-3.0,2.0,12.0,-10.0,3.0,-2.0,-12.0,10.0
NO.438,3,-4.0,-2.0,-56.0,-19.0,42.0,-6.0,80.0,9.0,-4.0,2.0,4.0,-5.0,4.0,-2.0,-4.0,5.0
NO.439,3,37.0,15.0,-8.0,27.0,-25.0,-33.0,22.0,-11.0,-3.0,7.0,8.0,-13.0,3.0,-7.0,-8.0,13.0
NO.440,2,16.0,4.0,-17.0,-7.0,-14.0,-10.0,-1.0,43.0,0.0,4.0,11.0,-11.0,0.0,-4.0,-11.0,11.0
NO.441,3,9.0,-5.0,70.0,71.0,-39.0,-3.0,30.0,-93.0,-7.0,3.0,4.0,-7.0,7.0,-3.0,-4.0,7.0
NO.442,3,2.0,-6.0,18.0,11.0,-8.0,16.0,40.0,39.0,-2.0,0.0,12.0,-7.0,2.0,0.0,-12.0,7.0
NO.443,2,19.0,-7.0,-11.0,23.0,-45.0,1.0,-31.0,21.0,-3.0,1.0,5.0,-3.0,3.0,-1.0,-5.0,3.0
NO.444,0,-12.0,-50.0,-3.0,30.0,-2.0,-6.0,-17.0,-10.0,0.0,-2.0,7.0,-6.0,0.0,2.0,-7.0,6.0
NO.445,2,20.0,-14.0,-1.0,29.0,-48.0,8.0,3.0,37.0,4.0,0.0,3.0,-5.0,-4.0,0.0,-3.0,5.0
NO.446,2,10.0,-7.0,-7.0,11.0,-44.0,7.0,7.0,45.0,0.0,1.0,3.0,-5.0,0.0,-1.0,-3.0,5.0
NO.447,2,-2.0,-10.0,-17.0,8.0,-12.0,-12.0,27.0,60.0,-4.0,2.0,3.0,-4.0,4.0,-2.0,-3.0,4.0
NO.448,2,-6.0,-19.0,-13.0,3.0,-10.0,-19.0,17.0,23.0,-2.0,-1.0,3.0,-3.0,2.0,1.0,-3.0,3.0
NO.449,3,1.0,-5.0,7.0,20.0,5.0,3.0,29.0,42.0,-3.0,1.0,5.0,-2.0,3.0,-1.0,-5.0,2.0
NO.450,3,-15.0,-19.0,33.0,29.0,-9.0,3.0,21.0,-29.0,-3.0,-1.0,7.0,-7.0,3.0,1.0,-7.0,7.0
NO.451,3,-1.0,-17.0,7.0,17.0,13.0,-15.0,19.0,-13.0,-3.0,-1.0,7.0,-3.0,3.0,1.0,-7.0,3.0
NO.452,2,1.0,8.0,-6.0,6.0,-9.0,66.0,10.0,94.0,-5.0,4.0,10.0,-10.0,5.0,-4.0,-10.0,10.0
NO.453,2,-18.0,-19.0,-19.0,-18.0,20.0,3.0,9.0,18.0,-4.0,-1.0,9.0,-4.0,4.0,1.0,-9.0,4.0
NO.454,3,-45.0,-1.0,25.0,-1.0,51.0,43.0,111.0,59.0,5.0,-3.0,5.0,-3.0,-5.0,3.0,-5.0,3.0
NO.455,3,-2.0,-10.0,-12.0,9.0,12.0,30.0,90.0,-1.0,4.0,0.0,2.0,-5.0,-4.0,0.0,-2.0,5.0
NO.456,2,13.0,4.0,-49.0,-6.0,19.0,0.0,67.0,32.0,-1.0,2.0,1.0,-6.0,1.0,-2.0,-1.0,6.0
NO.457,3,3.0,1.0,-8.0,12.0,-11.0,11.0,84.0,-4.0,-3.0,3.0,6.0,-8.0,3.0,-3.0,-6.0,8.0
NO.458,2,3.0,10.0,-17.0,-2.0,-7.0,-4.0,33.0,36.0,-1.0,4.0,-3.0,0.0,1.0,-4.0,3.0,0.0
NO.459,3,-2.0,23.0,-3.0,16.0,0.0,13.0,73.0,-16.0,-4.0,5.0,-1.0,0.0,4.0,-5.0,1.0,0.0
NO.460,3,-2.0,-15.0,-18.0,16.0,-12.0,1.0,46.0,30.0,0.0,-1.0,4.0,-4.0,0.0,1.0,-4.0,4.0
NO.461,2,-1.0,9.0,-9.0,-13.0,3.0,-11.0,17.0,41.0,-3.0,3.0,3.0,-3.0,3.0,-3.0,-3.0,3.0
NO.462,3,-3.0,16.0,-11.0,1.0,-9.0,0.0,39.0,21.0,-7.0,6.0,7.0,-9.0,7.0,-6.0,-7.0,9.0
NO.463,3,2.0,-19.0,-15.0,22.0,-6.0,-9.0,19.0,14.0,-4.0,-1.0,7.0,-6.0,4.0,1.0,-7.0,6.0
NO.464,3,1.0,2.0,6.0,20.0,-3.0,0.0,72.0,0.0,-5.0,4.0,8.0,-4.0,5.0,-4.0,-8.0,4.0
NO.465,3,59.0,52.0,-37.0,13.0,-41.0,-18.0,49.0,-97.0,-11.0,14.0,5.0,-9.0,11.0,-14.0,-5.0,9.0
NO.466,3,13.0,-3.0,-12.0,14.0,-23.0,-19.0,54.0,-30.0,-5.0,3.0,8.0,-10.0,5.0,-3.0,-8.0,10.0
NO.467,3,81.0,59.0,16.0,14.0,-45.0,-31.0,-34.0,-48.0,-9.0,15.0,6.0,-6.0,9.0,-15.0,-6.0,6.0
NO.468,3,27.0,7.0,-5.0,10.0,-7.0,-21.0,23.0,0.0,-3.0,5.0,5.0,-4.0,3.0,-5.0,-5.0,4.0
NO.469,3,20.0,-5.0,-8.0,10.0,4.0,7.0,64.0,-2.0,2.0,1.0,4.0,-6.0,-2.0,-1.0,-4.0,6.0
NO.470,3,-8.0,-6.0,-10.0,27.0,16.0,22.0,74.0,15.0,-2.0,2.0,2.0,-1.0,2.0,-2.0,-2.0,1.0
NO.471,3,3.0,-4.0,-19.0,4.0,-7.0,-12.0,29.0,10.0,-3.0,2.0,1.0,-4.0,3.0,-2.0,-1.0,4.0
NO.472,3,-7.0,-18.0,-36.0,9.0,-3.0,14.0,56.0,-5.0,-1.0,0.0,2.0,-7.0,1.0,0.0,-2.0,7.0
NO.473,2,15.0,11.0,-2.0,-2.0,-39.0,29.0,32.0,32.0,-1.0,1.0,8.0,-8.0,1.0,-1.0,-8.0,8.0
NO.474,2,6.0,-32.0,-14.0,22.0,-20.0,-84.0,34.0,44.0,2.0,-2.0,4.0,-6.0,-2.0,2.0,-4.0,6.0
NO.475,3,-7.0,-2.0,-19.0,18.0,-9.0,18.0,61.0,8.0,-3.0,2.0,5.0,-4.0,3.0,-2.0,-5.0,4.0
NO.476,3,0.0,-15.0,-13.0,18.0,-2.0,-17.0,69.0,-24.0,-2.0,3.0,3.0,-6.0,2.0,-3.0,-3.0,6.0
NO.477,3,-38.0,-11.0,-9.0,6.0,6.0,-5.0,41.0,12.0,-2.0,1.0,3.0,-6.0,2.0,-1.0,-3.0,6.0
NO.478,2,3.0,18.0,-14.0,-7.0,-5.0,14.0,14.0,35.0,-1.0,-2.0,0.0,-1.0,1.0,2.0,0.0,1.0
NO.479,3,2.0,4.0,-9.0,1.0,-12.0,8.0,35.0,11.0,0.0,0.0,5.0,-7.0,0.0,0.0,-5.0,7.0
NO.480,2,-7.0,69.0,-40.0,-52.0,61.0,-3.0,6.0,68.0,-11.0,11.0,6.0,-6.0,11.0,-11.0,-6.0,6.0
NO.481,3,23.0,61.0,-12.0,-22.0,1.0,23.0,8.0,-10.0,-7.0,9.0,4.0,-4.0,7.0,-9.0,-4.0,4.0
NO.482,6,4.0,18.0,-23.0,-90.0,-2.0,20.0,-41.0,120.0,-2.0,-2.0,17.0,-14.0,2.0,2.0,-17.0,14.0
NO.483,6,-3.0,7.0,-34.0,-58.0,-39.0,29.0,-24.0,146.0,-1.0,-5.0,14.0,-14.0,1.0,5.0,-14.0,14.0
NO.484,6,-3.0,-126.0,-193.0,-145.0,-3.0,-110.0,-215.0,87.0,3.0,2.0,9.0,3.0,-3.0,-2.0,-9.0,-3.0
NO.485,6,19.0,5.0,-130.0,-290.0,23.0,29.0,-222.0,198.0,23.0,-5.0,28.0,20.0,-23.0,5.0,-28.0,-20.0
NO.486,6,1.0,-15.0,-53.0,-169.0,3.0,3.0,-97.0,221.0,5.0,-1.0,31.0,-25.0,-5.0,1.0,-31.0,25.0
NO.487,6,-1.0,-49.0,-84.0,-179.0,21.0,-27.0,-112.0,213.0,1.0,7.0,36.0,-21.0,-1.0,-7.0,-36.0,21.0
NO.488,6,-13.0,-2.0,-60.0,-172.0,5.0,-8.0,-96.0,220.0,-7.0,0.0,32.0,-24.0,7.0,0.0,-32.0,24.0
NO.489,6,-28.0,14.0,-76.0,-142.0,-30.0,-12.0,-48.0,76.0,-16.0,14.0,26.0,-26.0,16.0,-14.0,-26.0,26.0
NO.490,6,35.0,-11.0,-73.0,-138.0,-31.0,11.0,-9.0,76.0,-1.0,7.0,33.0,-26.0,1.0,-7.0,-33.0,26.0
NO.491,6,4.0,8.0,-57.0,-175.0,-8.0,10.0,-95.0,209.0,-2.0,0.0,29.0,-21.0,2.0,0.0,-29.0,21.0
NO.492,6,1.0,8.0,-52.0,-95.0,-7.0,20.0,-26.0,113.0,-1.0,-2.0,14.0,-15.0,1.0,2.0,-14.0,15.0
NO.493,2,8.0,5.0,-28.0,-59.0,-18.0,9.0,0.0,71.0,-2.0,-3.0,14.0,-13.0,2.0,3.0,-14.0,13.0
NO.494,6,9.0,50.0,-35.0,-194.0,-25.0,40.0,-109.0,186.0,1.0,4.0,29.0,-24.0,-1.0,-4.0,-29.0,24.0
NO.495,2,5.0,9.0,-30.0,-35.0,-3.0,17.0,0.0,75.0,-1.0,1.0,8.0,-7.0,1.0,-1.0,-8.0,7.0
NO.496,3,7.0,-24.0,-12.0,25.0,-5.0,-14.0,90.0,-33.0,1.0,0.0,4.0,-7.0,-1.0,0.0,-4.0,7.0
NO.497,2,9.0,53.0,-34.0,-58.0,17.0,21.0,10.0,10.0,-9.0,15.0,6.0,-10.0,9.0,-15.0,-6.0,10.0
NO.498,2,-1.0,4.0,-8.0,-14.0,3.0,10.0,12.0,36.0,-3.0,2.0,4.0,-4.0,3.0,-2.0,-4.0,4.0
NO.499,3,3.0,5.0,-15.0,-1.0,-15.0,9.0,53.0,1.0,-5.0,5.0,7.0,-9.0,5.0,-5.0,-7.0,9.0
NO.500,2,15.0,16.0,-12.0,-8.0,-1.0,0.0,10.0,34.0,-5.0,4.0,6.0,-6.0,5.0,-4.0,-6.0,6.0
NO.501,2,14.0,11.0,-8.0,6.0,-24.0,11.0,-12.0,24.0,-2.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0
NO.502,2,18.0,5.0,-8.0,8.0,-16.0,1.0,4.0,18.0,-2.0,-1.0,-2.0,2.0,2.0,1.0,2.0,-2.0
NO.503,2,-3.0,9.0,-21.0,-10.0,-9.0,13.0,-5.0,44.0,-3.0,1.0,-1.0,0.0,3.0,-1.0,1.0,0.0
NO.504,0,-10.0,-78.0,-29.0,60.0,-2.0,-60.0,-9.0,28.0,0.0,6.0,-3.0,2.0,0.0,-6.0,3.0,-2.0
NO.505,2,7.0,9.0,-16.0,-13.0,5.0,15.0,-4.0,57.0,-1.0,3.0,2.0,-1.0,1.0,-3.0,-2.0,1.0
NO.506,3,-30.0,-48.0,-38.0,32.0,-16.0,-34.0,-2.0,-36.0,-4.0,2.0,-4.0,-6.0,4.0,-2.0,4.0,6.0
NO.507,2,-26.0,-10.0,-21.0,-4.0,-10.0,4.0,5.0,14.0,0.0,0.0,-5.0,4.0,0.0,0.0,5.0,-4.0
NO.508,2,-6.0,-4.0,-29.0,-33.0,4.0,4.0,1.0,19.0,-2.0,2.0,1.0,1.0,2.0,-2.0,-1.0,-1.0
NO.509,2,14.0,5.0,-31.0,-17.0,-24.0,-5.0,-27.0,9.0,-4.0,5.0,-1.0,1.0,4.0,-5.0,1.0,-1.0
NO.510,2,-16.0,-5.0,2.0,-13.0,10.0,7.0,-10.0,13.0,-2.0,1.0,2.0,3.0,2.0,-1.0,-2.0,-3.0
NO.511,2,2.0,1.0,-30.0,-16.0,-2.0,3.0,-12.0,12.0,-4.0,5.0,0.0,2.0,4.0,-5.0,0.0,-2.0
NO.512,2,-6.0,-4.0,-29.0,-34.0,-12.0,6.0,-5.0,28.0,-2.0,0.0,1.0,4.0,2.0,0.0,-1.0,-4.0
NO.513,2,-29.0,-59.0,-57.0,-1.0,37.0,-19.0,13.0,9.0,1.0,5.0,-3.0,1.0,-1.0,-5.0,3.0,-1.0
NO.514,2,-10.0,5.0,-22.0,-25.0,0.0,11.0,-12.0,21.0,-4.0,1.0,0.0,1.0,4.0,-1.0,0.0,-1.0
NO.515,2,-3.0,-6.0,-15.0,-14.0,-11.0,0.0,-13.0,12.0,-1.0,0.0,1.0,2.0,1.0,0.0,-1.0,-2.0
NO.516,2,-6.0,-14.0,-26.0,-34.0,-8.0,-2.0,-20.0,10.0,-2.0,2.0,2.0,4.0,2.0,-2.0,-2.0,-4.0
NO.517,2,2.0,15.0,-13.0,-34.0,-4.0,3.0,-7.0,10.0,-6.0,1.0,5.0,2.0,6.0,-1.0,-5.0,-2.0
NO.518,2,-5.0,-2.0,-15.0,-5.0,-7.0,2.0,7.0,9.0,-3.0,0.0,1.0,1.0,3.0,0.0,-1.0,-1.0
NO.519,2,0.0,-24.0,-12.0,3.0,-38.0,-6.0,-12.0,-1.0,0.0,-4.0,0.0,3.0,0.0,4.0,0.0,-3.0
NO.520,3,27.0,-7.0,2.0,1.0,-1.0,-1.0,-8.0,-7.0,1.0,-1.0,2.0,3.0,-1.0,1.0,-2.0,-3.0
NO.521,2,-17.0,7.0,-13.0,-36.0,7.0,21.0,1.0,32.0,-3.0,-1.0,1.0,4.0,3.0,1.0,-1.0,-4.0
NO.522,2,-1.0,5.0,-6.0,-6.0,-15.0,7.0,-2.0,8.0,-1.0,-1.0,0.0,2.0,1.0,1.0,0.0,-2.0
NO.523,2,3.0,-9.0,-21.0,-9.0,-7.0,1.0,-7.0,11.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
NO.524,2,2.0,16.0,-11.0,-31.0,-4.0,24.0,-1.0,29.0,0.0,0.0,-1.0,5.0,0.0,0.0,1.0,-5.0
NO.525,2,1.0,-22.0,-13.0,3.0,-19.0,-14.0,-3.0,-11.0,3.0,-2.0,-1.0,1.0,-3.0,2.0,1.0,-1.0
NO.526,2,-1.0,9.0,-18.0,-26.0,-13.0,15.0,-8.0,20.0,-1.0,1.0,0.0,2.0,1.0,-1.0,0.0,-2.0
NO.527,2,21.0,10.0,-22.0,-16.0,-7.0,10.0,-26.0,10.0,1.0,4.0,0.0,0.0,-1.0,-4.0,0.0,0.0
NO.528,2,9.0,-2.0,-16.0,-7.0,-11.0,0.0,-12.0,5.0,-1.0,0.0,2.0,-1.0,1.0,0.0,-2.0,1.0
NO.529,2,-11.0,-15.0,-31.0,-31.0,-35.0,-5.0,-53.0,27.0,-3.0,-1.0,5.0,3.0,3.0,1.0,-5.0,-3.0
NO.530,2,-4.0,-22.0,-25.0,0.0,-36.0,-8.0,-1.0,-6.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.0,0.0
